SITUS,verdict,evidence
1257 MORELAND AVE SE,open,Piggly Wiggly open per Yelp (reviews through spring 2026) and its own store website
834 HANK AARON DR SE,open,Stadium Grocery & More has active listings (Yelp Aug 2025; BBB profile); no closure evidence found
1460 BOULEVARD SE,open,El Progreso carniceria/market open per Yelp (June 2026; 166 reviews)
1362 BOULEVARD SE,open,East Atlanta Food Mart listed active and open 24h (Yellow Pages); no closure evidence found
112 ORMOND ST SE,closed,Sunny's Market gone; address is now Talat Market Thai restaurant (Michelin Guide; Yelp July 2026)
1683 LAKEWOOD AVE SE,open,Chevron with convenience store open 24h per Yelp (July 2026) and Foursquare
3556 EMPIRE BLVD SW,open,Empire Food Mart per Yelp (April 2026); Valero's own site lists this station as active
288 RALPH D ABERNATHY BLVD SW,closed,Pit Stop Foods marked CLOSED on Yelp (Feb 2026); Pit Stop Kitchen restaurant now at address
337 FLETCHER ST SW,open,Maxing Groceries convenience store operating at address per Yelp (Nov 2025)
1241 METROPOLITAN PKWY SW,open,Quick Stop Food Mart open 24h per Yelp (June 2026) and GasBuddy
2050 SYLVAN RD SW,open,Chevron open 24/7 per Yelp / Waze / DoorDash listings (2026)
1974 SYLVAN RD SW,open,Quick Stop store listed on Yelp; companion Texaco listing updated Feb 2026
535 LEE ST SW,open,Old BP Foodmart listing closed but a Shell operates at the same address open 24h (Yelp July 2026)
1097 LEE ST SW,closed,Market Place Grocery closed (Yelp); site planned for the Cresent Center shopping development
1469 CAMPBELLTON RD SW,open,Maraton (Marathon) Food Mart active per Yelp (March 2026) / Nextdoor / Instagram
1355 RALPH D ABERNATHY BLVD SW,closed,Georgia Food Mart marked CLOSED on Yelp (Feb 2026)
1990 DONALD LEE HOLLOWELL PKWY NW,ambiguous,Citgo Foodmart marked CLOSED on Yelp (March 2026) but bp.com lists a station at this address
1981 JOSEPH E BOONE BLVD NW,open,A K Food Store per Yelp (May 2026); active Western Union agent location
2261 CASCADE RD SW,open,Shell station and Cascade Food Mart listings active (Tripadvisor / Nextdoor / Yellow Pages)
3113 CAMPBELLTON RD SW,ambiguous,Shell Food Mart marked CLOSED on Yelp (July 2026) but GA license records list Shiv Food Mart at address
2176 COUNTY LINE RD SW,open,Our Convenience Store per Yelp (July 2026) and directory listings
639 MOROSGO DR NE,open,Chevron open 24h per Yelp (June 2026) and GasBuddy
345 PHARR RD NE,open,Pharr Road Convenience Store (Chevron) open 24h per Yelp (July 2026)
2331 PEACHTREE RD NE,open,Chevron Food Mart open 24h per Yelp (June 2026) and Foursquare
2060 PEACHTREE RD NW,open,Sunoco open 24h per Yelp (June 2026) and GasBuddy
2118 DEFOORS FERRY RD NW,open,Shell station with C-store per find.shell.com and Yelp (April 2026)
